CODE            ,"Item Description"
101225          ,"MAYO-HARRINGTON SCISSORS,  9, CARB-EDGE, STRAIGHT"
101226          ,"MAYO-HARRINGTON SCISSORS, 9, CARB-EDGE, CURVED"
101230          ,"MAYO SCISSORS 14-1/4, CARB-EDGE, STR, BLUNT/BLUNT"
101232          ,"MAYO SCISSORS 14-1/4,CARB-EDGE,CURVED,BLUNT/BLUNT"
101250          ,"METZENBAUM-LAHEY SCISSORS 5-3/4,CARB-EDGE,STRAIGHT"
101251          ,"METZENBAUM-LAHEY SCISSORS 5-3/4,CARB-EDGE, CURVED"
101252          ,"METZENBAUM-LAHEY SCS 5-3/4 CARB-EDGE, STR, SHP/SHP"
101253          ,"METZENBAUM-LAHEY SCS 5-3/4 CARB-EDGE, CVD, SHP/SHP"
101255          ,"REYNOLDS SCISSORS,5-1/8,CARB-EDGE,PETIT-POINT,CRVD"
101256          ,"METZENBAUM-NELSON SCS 14 CARB-EDGE,CVD,BLUNT/BLUNT"
101257          ,"METZENBAUM SCISSORS  7, CARB-EDGE, STR,SHARP/SHARP"
101258          ,"METZENBAUM SCS 7 CARB-EDGE, CURVED, BLUNT/BLUNT"
101259          ,"METZENBAUM SCISSORS, 7, CARB-EDGE,CURVED,SHARP"
101260          ,"METZENBAUM SCISSORS 7,CARB-EDGE,STRAIGHT,DELICATE"
101261          ,"METZENBAUM SCISSORS 7, CARB-EDGE, CURVED,DELICATE"
101265          ,"METZENBAUM SCISSORS 8, CARB-EDGE,CRVD, BLUNT/BLUNT"
101266          ,"METZENBAUM-NELSON SCISSORS, 9-1/4,CARB-EDGE,STR"
101267          ,"METZENBAUM-NELSON SCISSORS, 9-1/4,CARB-EDGE,CURVED"
101269          ,"METZENBAUM-NELSON SCISSORS,10-1/4,CARB-EDGE,CURVED"
101270          ,"METZENBAUM-NELSON SCISSORS,11-1/4,CARB-EDGE,CURVED"
101272          ,"METZENBAUM-NELSON SCISSORS,12-1/4,CARB-EDGE,CURVED"
101275          ,"METZENBAUM-NELSON SCISSORS,9-1/4,CARB-EDGE,STR,DEL"
101276          ,"METZENBAUM-NELSON SCISSORS,9-1/4,CARB-EDGE,CVD,DEL"
101278          ,"METZENBAUM SCISSOR 9-1/4,CARB-EDGE,STR,SHARP/SHARP"
101279          ,"METZENBAUM SCS 9-1/4,CARB-EDGE,CURVED, SHARP/SHARP"
101300          ,"IRIS SCISSORS,4-1/2,CARB-EDGE,STRAIGHT,SHARP/SHARP"
101301          ,"IRIS SCISSORS,4-1/2, CARB-EDGE, CURVED,SHARP/SHARP"
101310          ,"STRABISMUS SCISSOR,4-1/2,CARB-EDGE,STR,BLUNT/BLUNT"
101311          ,"STRABISMUS SCS, 4-1/2,CARB-EDGE,CURVED,BLUNT/BLUNT"
101350          ,"WIRE SUTURE SCISSORS 4-7/8, CARB-EDGE, ANGLED"
102100          ,"MAYO SCISSORS, 5-3/4, SUPERCUT, STRAIGHT"
102102          ,"MAYO SCISSORS, 5-3/4, SUPERCUT, CURVED"
102110          ,"MAYO SCISSORS, 6-3/4, SUPERCUT, STRAIGHT"
102112          ,"MAYO SCISSORS, 6-3/4, SUPERCUT, CURVED"
102113          ,"MAYO SCISSORS, 10, SUPERCUT, STRAIGHT"
102114          ,"MAYO SCISSORS, 12, SUPERCUT, STRAIGHT"
102115          ,"MAYO SCISSORS, 9, SUPERCUT, STRAIGHT"
102116          ,"MAYO SCISSORS, 9, SUPERCUT, CURVED"
102118          ,"MAYO SCISSORS, 11, SUPERCUT, CURVED"
102119          ,"METZENBAUM-LAHEY SCISSORS, 5-5/8,SUPERCUT,STRAIGHT"
102120          ,"METZENBAUM-LAHEY SCISSORS, 5-5/8, SUPERCUT, CURVED"
102122          ,"METZENBAUM SCISSORS, 7, SUPERCUT, CURVED"
102125          ,"METZENBAUM SCISSORS, 9-1/4, SUPERCUT, CURVED"
102126          ,"METZENBAUM SCISSORS, 10-1/4, SUPERCUT, CURVED"
102127          ,"METZENBAUM SCISSORS, 14, SUPERCUT, CURVED"
102128          ,"METZENBAUM SCISSORS, 11-1/4, SUPERCUT, CURVED"
102129          ,"METZENBAUM SCISSORS, 12, SUPERCUT, CURVED"
102130          ,"IRIS SCISSORS, 4-5/8, SUPERCUT, STRAIGHT"
102131          ,"IRIS SCISSORS, 4-5/8, SUPERCUT, CURVED"
102138          ,"STEVENS TENOTOMY SCS, 4-3/8, SUPERCUT,SLENDER, STR"
102139          ,"STEVENS TENOTOMY SCS, 4-3/8, SUPERCUT, SLENDER,CVD"
102140          ,"STEVENS TENOTOMY SCS, 4-1/4,SUPERCUT,STANDARD,STR"
102141          ,"STEVENS SCISSORS, 4-1/4, SUPERCUT,CURVED, STANDARD"
102180          ,"KNIGHT NASAL SCISSORS, 6-1/4, SUPERCUT,ANG TO SIDE"
102200          ,"PLASTIC SURGERY SCISSORS, 4-3/4, SUPERCUT,STRAIGHT"
102202          ,"PLASTIC SURGERY SCISSORS, 4-3/4, SUPERCUT, CURVED"
102205          ,"CASTANARES RHYTIDECTOMY SCISSORS, 6-1/4, SUPERCUT"
102210          ,"GORNEY PLASTIC SURGERY SCISSORS,7-1/4,SUPERCUT,STR"
102211          ,"GORNEY PLASTIC SURGERY SCISSORS,7-1/4,SUPERCUT,CVD"
102215          ,"KAYE RHYTIDECTOMY SCISSORS, 5-5/8, SUPERCUT,CURVED"
102216          ,"KAYE RHYTIDECTOMY SCISSORS, 7-3/4, SUPERCUT,CURVED"
102220          ,"FREEMAN-GORNEY RHYTIDECTOMY SCISSORS,7-1/4,S/C,STR"
102221          ,"FREEMAN-GORNEY RHYTIDECTOMY SCISSORS,7-1/4,S/C,CVD"
102225          ,"FREEMAN-KAYE RHYTIDECTOMY SCISSORS, 7-1/4, S/C, ST"
102226          ,"FREEMAN-KAYE RHYTIDECTOMY SCISSORS, 7-1/4, S/C,CVD"
102229          ,"FREEMAN RHYTIDECTOMY SCISSORS, 7, S/C, CVD"
102230          ,"GORNEY PLATYSMA SCISSORS, 9-1/4, SUPERCUT,STRAIGHT"
102231          ,"GORNEY PLATYSMA SCISSORS, 9-1/4, SUPERCUT, CURVED"
102235          ,"FOMON UPPER LATERAL SCISSORS, 4-1/2, SUPERCUT,CRVD"
102236          ,"FOMON DORSAL SCISSORS, 5-1/4, SUPERCUT,ANG ON FLAT"
102238          ,"COTTLE DORSAL SCISSORS, 6, SUPERCUT, ANG ON FLAT"
102240          ,"PLASTIC/RECONSTRUCTIVE SCISSORS, 4-1/2,S/C, CURVED"
102242          ,"PLASTIC/RECONSTRUCTIVE SCISSORS, 5-5/8,S/C, CURVED"
102245          ,"REYNOLDS SCISSORS, 5-1/8,SUPERCUT,PETIT-POINT,CRVD"
102300          ,"JAMISON SCISSORS 5-5/8,SUPERCUT,CURVED,BLUNT/BLUNT"
102302          ,"JAMISON SCISSORS, 7, SUPERCUT, CURVED, BLUNT/BLUNT"
102310          ,"METZENBAUM SCISSORS, 7, SUPERCUT, CVD, BLUNT/BLUNT"
102315          ,"ENDARTERECTOMY SCISSORS, 6-3/4, SUPERCUT, CURVED"
102320          ,"POTTS-SMITH SCISSORS, 7-1/2, SUPERCUT, ANG 25 DEG"
102321          ,"POTTS-SMITH SCISSORS, 7-1/4, SUPERCUT, ANG 45 DEG"
102322          ,"POTTS-SMITH SCISSORS, 7, SUPERCUT, ANG 60 DEG"
102350          ,"DIETHRICH CORONARY ARTERY SCISSORS,7-1/4,S/C,25DEG"
102351          ,"DIETHRICH CORONARY ARTERY SCISSORS, 7, S/C, 45DEG"
102352          ,"DIETHRICH CORONARY ARTERY SCISSORS, 7, S/C, 60DEG"
102353          ,"DIETHRICH CORONARY ARTERY SCISSORS,6-3/4,S/C,90DEG"
102354          ,"DIETHRICH CORONARY ARTERY SCISSORS, 6-3/4,S/C,120D"
102360          ,"DIETHRICH CIRCUMFLEX ARTERY SCISSOR,6-3/4,S/C,125D"
102374          ,"FAVALORO CORONARY SCISSORS, 6-1/4, SUPERCUT,125DEG"
103220          ,"MAYO SCISSOR,6-3/4,CARB-EDGE,STR,MATTE,BLUNT/BLUNT"
103222          ,"MAYO SCS 6-3/4, CARB-EDGE, CURVED, BLUNT/BLUNT"
103250          ,"METZENBAUM-LAHEY SCISSOR,5-3/4,CARB-EDGE,STR"
