CODE            ,"Item Description"
MCL206          ,"MOUTH GAG MCL206 MORINIERE"
MCL206A1        ,"TONGUE DEPRESSOR MCL206A1 OPEN 35x120mm"
MCL206A2        ,"TONGUE DEPRESSOR MCL206A2 35X120MM"
MCL206A3        ,"TONGUE DEPRESSOR MCL206A3 35X110MM MORI"
MCL206A4        ,"TONGUE DEPRESSOR MCL206A4 40X85MM MORI"
MCL206A5        ,"TONGUE DEPRESSOR MCL206A5 35X65MM"
MCL206C         ,"MOUTH GAG MCL206C W/O BLADES MORINIERE"
MCL206P         ,"MORINIERE DEVICE HOLDER MCL206P"
MCL210          ,"SUCTION TUBE MCL210 DIA 2.5MM ABITBOL"
MCL219          ,"FORCEPS MCL219 RIGHT ABITBOL HEART"
MCL219-1        ,"FORCEPS MCL219-1 LEFT ABITBOL HEART"
MCL241          ,"FORCEPS MCL241 ALLIG CVD RT ABITBOL"
MCL241-1        ,"FORCEPS MCL241-1 LFT ABITBOL"
MCL25           ,"FORCEPS MCL25 ALLIG STR 230MM"
MCL29           ,"FORCEPS MCL29 230MM LFT BOUCHAYER CUP"
MCL290          ,"LARYNGOSCOPE MCL290 180MM ABITBOL"
MCL291          ,"LARYNGOSCOPE MCL291 180MM ABITBOL"
MCL291AD        ,"SUCTION TUBE MCL291AD RT ABITBOL"
MCL291AG        ,"SUCTION TUBE MCL291AG LFT ABITBOL"
MCL291FD        ,"FIBERGLAS MCL291FD RT MCL291 ABITBOL"
MCL291FG        ,"FIBERGLAS MCL291FG LFT MCL291 ABITBOL"
MCL294          ,"FIBERGLAS MCL294 FOR MCL290 ABITBOL"
MCL295          ,"SUCTION TUBE MCL295 ABITBOL"
MCL30           ,"FORCEPS MCL30 230MM RT BOUCHAYER CUP"
MCL31           ,"SCISSORS MCL31 230MM ANG BOUCHAYER"
MCL320          ,"OESOPHAGOSCOPE MCL320 300MM 12X16MM"
MCL320F         ,"LIGHT FIBER MCL320F FOR MCL320"
MCL33           ,"FORCEPS MCL33 230MM UPWARD CUP"
MCL330          ,"OESOPHAGOSCOPE MCL330 500MM 12X16MM"
MCL330F         ,"LIGHT FIBER MCL330F FOR MCL330"
MCL34           ,"BIPOLAR FORCEPS MCL34 290MM W/TRAY"
MCL340          ,"MICRO BIPOLAR FORCEPS MCL340 WL 210MM"
MCL35           ,"PLATE MCL35 FOR MCL76 BOUCHAYER"
MCL359          ,"RETRACTOR MCL359 130MM BIZEAU"
MCL37           ,"LARYNGOSCOPE MCL37 100MM SM GARCIN"
MCL37C          ,"LARYNGOSCOPE MCL37C 75MM"
MCL37CF         ,"LIGHT FIBER MCL37CF FOR MCL37C"
MCL37D          ,"LARYNGOSCOPE MCL37D 75MM"
MCL37DF         ,"LIGHT FIBER MCL37DF FOR MCL37D"
MCL37G          ,"LARYNGOSCOPE MCL37G 100MM GARABEDIAN"
MCL38N          ,"FIBERGLAS MCL38N W/O ADAPTER"
MCL4            ,"KNIFE MCL4 220MM STR HANDLE"
MCL42           ,"FIBERGLAS MCL42 FOR MCL37 GARCIN"
MCL46           ,"LARYNGOSCOPE MCL46 200MM DEDO FRECHE"
MCL46A          ,"SUCTION TUBE MCL46A DEDO FRECHE"
MCL47           ,"FIBERGLAS MCL47 FOR MCL46 DEDO FRECHE"
MCL48           ,"RETRACTOR MCL48 225MM 2 PRONGS"
MCL49           ,"DIVERTICULOSCOPE MCL49 LACAU"
MCL49F          ,"FIBERGLAS MCL49F FOR MCL49 LACAU"
MCL5            ,"KNIFE MCL5 220MM STR HANDLE"
MCL51           ,"LARYNGOSCOPE MCL51 150MM MED LEGENT"
MCL52           ,"LARYNGOSCOPE MCL52 180MM LRG LEGENT"
MCL53           ,"FIBERGLAS MCL53 FOR MCL51 LEGENT"
MCL54           ,"FIBERGLAS MCL54 FOR MCL52 LEGENT"
MCL55           ,"INSTRUMENT MCL55 PISTOL W/NEEDLE MCL55-1"
MCL55-1         ,"INJECTION NEEDLE MCL55-1 240MM BAYONET"
MCL55-2         ,"INJECTION NEEDLE MCL55-2 240MM BAYONET"
MCL55-3         ,"INJECTION NEEDLE MCL55-3 240MM BAYONET"
MCL55B          ,"PISTOL MCL55B W/ADAPTATER MCL55R"
MCL55R          ,"ADAPTER MCL55R FOR PISTOL MCL55"
MCL55T4         ,"NEEDLE HANDLE MCL55T4 CASIANO"
MCL55T5         ,"INJECTION NEEDLE MCL55T5 6PK CASIANO"
MCL55T6         ,"TROCAR OBTURATOR MCL55T6 6PK CASIANO"
MCL55U          ,"INJECTION NEEDLE MCL55U 250MM MALLEABLE"
MCL56BL         ,"ELEVATOR MCL56BL LFT BOUCHAY"
MCL56BR         ,"ELEVATOR MCL56BR RT BOUCHAY"
MCL56PL         ,"ELEVATOR MCL56PL LFT PEROUSE"
MCL56PR         ,"ELEVATOR MCL56PR RT PEROUSE"
MCL57           ,"KNIFE MCL57 220MM LANCET BOUCHAYER"
MCL58           ,"INJECTION NEEDLE MCL58 BAYONET BOUCHAYER"
MCL59           ,"KNIFE MCL59 BAYONET MONOPOLAR FRECHE"
MCL62           ,"SUCTION TUBE MCL62 DIA 2.5MM 230MM"
MCL63           ,"LARYNGOSCOPE MCL63 190MM PIGNAT"
MCL63F          ,"FIBERGLAS MCL63F FOR MCL63 PIGNAT"
MCL64           ,"LARYNGOSCOPE MCL64 140MM MED PIGNAT"
MCL64F          ,"FIBERGLAS MCL64F FOR MCL64 PIGNAT"
MCL65A          ,"LARYNGOSCOPE MCL65A 180MM"
MCL65AF         ,"LIGHT FIBER MCL65AF FOR MCL65A"
MCL65AS         ,"SUCTION TUBE MCL65AS FOR MCL65A"
MCL67           ,"FORCEPS MCL67 UPWARD BOUCHAYER CUP"
MCL68           ,"FORCEPS MCL68 LFT WARD BOUCHAYER CUP"
MCL69           ,"FORCEPS MCL69 RT WARD BOUCHAYER CUP"
MCL7            ,"HOOK MCL7 220MM BLUNT STR HANDLE"
MCL76           ,"HOLDER MCL76 FOR LARYNGOSCOPE BOUCHAYER"
MCL77           ,"LARYNGOSCOPE MCL77 180MM LRG BOUCHAYER"
MCL78           ,"FIBERGLAS MCL78 FOR MCL77 MCL79"
MCL79           ,"LARYNGOSCOPE MCL79 180MM MED BOUCHAYER"
MCL81BL         ,"ELEVATOR MCL81BL LFT 90DEG BOUCHAY"
MCL81BR         ,"ELEVATOR MCL81BR RT 90DEG BOUCHAY"
MCL81PL         ,"ELEVATOR MCL81PL LFT 90DEG PEROUSE"
MCL81PR         ,"ELEVATOR MCL81PR RT 90DEG PEROUSE"
MCL82           ,"FORCEPS MCL82 RETRACTOR BOUCHAYER"
MCL83           ,"LARYNGOSCOPE MCL83 180MM"
MCL83-1         ,"SUCTION TUBE MCL83-1 LARYNGOSCOPE MCL83"
MCL84           ,"FIBERGLAS MCL84 FOR MCL83"
MCL88           ,"DIVERTICULOSCOPE MCL88 REYT"
MCL88-1         ,"SUCTION TUBE MCL88-1 REYT"
MCL88-2         ,"FIBERGLAS MCL88-2 FOR MCL88 REYT"
MCL89           ,"LARYNGOSCOPE MCL89 190MM BRASNU"
MCL89-1         ,"SUCTION TUBE MCL89-1 BRASNU"
MCL89-2         ,"FIBERGLAS MCL89-2 FOR MCL89 BRASNU"
MCL920L25       ,"SUCTION TUBE MCL920L25 250MM D2.0MM"
MCL920L30       ,"SUCTION TUBE MCL920L30 300MM D2.0MM"
MCL920L35       ,"SUCTION TUBE MCL920L35 350MM D2.0MM"
MCL920L45       ,"SUCTION TUBE MCL920L45 450MM D2.0MM"
MCL920L55       ,"SUCTION TUBE MCL920L55 550MM D2.0MM"
MCL92-1         ,"HANDLE MCL92-1 220MM FOR KNIFE 14 58234"
MCL925L25       ,"SUCTION TUBE MCL925L25 250MM D2.5MM"
MCL925L30       ,"SUCTION TUBE MCL925L30 300MM D2.5MM"
MCL925L35       ,"SUCTION TUBE MCL925L35 350MM D2.5MM"
MCL925L45       ,"SUCTION TUBE MCL925L45 450MM D2.5MM"
MCL925L55       ,"SUCTION TUBE MCL925L55 550MM D2.5MM"
MCL93           ,"KNIFE MCL93 220MM W/3 BLADES BOUCHAYER"
MCL930L25       ,"SUCTION TUBE MCL930L25 250MM D3.0MM"
MCL930L30       ,"SUCTION TUBE MCL930L30 300MM D3.0MM"
MCL930L35       ,"SUCTION TUBE MCL930L35 350MM D3.0MM"
MCL930L45       ,"SUCTION TUBE MCL930L45 450MM D3.0MM"
MCL930L55       ,"SUCTION TUBE MCL930L55 550MM D3.0MM"
MCL93-2         ,"BLADE MCL93-2 3PK BOUCHAYER"
MCL935L25       ,"SUCTION TUBE MCL935L25 250MM D3.5MM"
MCL935L30       ,"SUCTION TUBE MCL935L30 300MM D3.5MM"
MCL935L35       ,"SUCTION TUBE MCL935L35 350MM D3.5MM"
MCL935L45       ,"SUCTION TUBE MCL935L45 450MM D3.5MM"
MCL935L55       ,"SUCTION TUBE MCL935L55 550MM D3.5MM"
MCL94           ,"NEEDLE HOLDER MCL94 230MM BOUCHAYER"
MCL940L25       ,"SUCTION TUBE MCL940L25 250MM D4.0MM"
MCL940L30       ,"SUCTION TUBE MCL940L30 300MM D4.0MM"
MCL940L35       ,"SUCTION TUBE MCL940L35 350MM D4.0MM"
MCL940L45       ,"SUCTION TUBE MCL940L45 450MM D4.0MM"
MCL940L55       ,"SUCTION TUBE MCL940L55 550MM D4.0MM"
MCL94G          ,"NEEDLE HOLDER MCL94G DIA 3MM GARABEDIAN"
MCL98           ,"TUBE MCL98 200MM FOR IRRIGATION PARSON"
MCLB16          ,"SCISSORS MCLB16 190MM RT BENNINGER"
MCLB17          ,"SCISSORS MCLB17 190MM LFT BENNINGER"
MCLB2SC         ,"INSTRUMENT TRAY MCLB2SC BENNINGER LARYNG"
MCLB30          ,"KNOT PUSHER MCLB30 BENNINGER"
MCLB31          ,"SCISSORS MCLB31 220MM ANG BENNINGER"
MCLB94          ,"NEEDLE HOLDER MCLB94 230MM BENNINGER"
MCLP10          ,"TROCAR MCLP10 DIA 3MM 55MM HENRY"
MCLP50          ,"HOOK MCLP50 DIA 3MM MONOPOLAR HENRY"
MCLP60          ,"PROBE MCLP60 DIA 3MM 220MM HENRY"
MCLP70          ,"RING MCLP70 FOR TROCAR"
MCL-S0          ,"ADAPTER MCL-S0 165MM SATALOFF"
MCL-S1          ,"ELEVATOR MCL-S1 240MM CVD SATALOFF"
MCL-S10         ,"PROBE MCL-S10 250MM SATALOFF"
MCL-S11         ,"DISSECTOR MCL-S11 45DEG SATALOFF"
MCL-S12         ,"DISSECTOR MCL-S12 90DEG SATALOFF"
MCLS120-1       ,"FIBERGLAS MCLS120-1 LFT SATALOFF"
MCLS120-2       ,"FIBERGLAS MCLS120-2 RT SATALOFF"
MCLS120-3       ,"SUCTION TUBE MCLS120-3 SATALOFF"
MCLS121-1       ,"FIBERGLAS MCLS121-1 LFT MCL121 SATALOFF"
MCLS121-2       ,"FIBERGLAS MCLS121-2 RT MCL121 SATALOFF"
MCLS121-3       ,"SUCTION TUBE MCLS121-3 SATALOFF"
MCLS122-1       ,"FIBERGLAS MCLS122-1 LFT MCL122 SATALOFF"
MCLS122-2       ,"FIBERGLAS MCLS122-2 RT SATALOFF"
MCLS122-3       ,"SUCTION TUBE MCLS122-3 SATALOFF"
MCLS123-1       ,"FIBERGLAS MCLS123-1 LFT SATALOFF"
MCLS123-2       ,"FIBERGLAS MCLS123-2 RT SATALOFF"
MCLS1233        ,"SUCTION TUBE MCLS1233 SATALOFF"
MCL-S13         ,"DISSECTOR MCL-S13 90DEG SATALOFF"
MCL-S14         ,"MIRROR MCL-S14 70DEG SM SATALOFF"
MCL-S15         ,"MIRROR MCL-S15 70DEG LRG SATALOFF"
MCL-S16         ,"SUCTION TUBE MCL-S16 DIA 1.0MM SATALOFF"
MCL-S17         ,"SUCTION TUBE MCL-S17 DIA 1.0MM SATALOFF"
MCL-S17-1       ,"SUCTION TUBE MCL-S17-1 DIA 1.0MM SATALOF"
MCL-S18         ,"FORCEPS MCL-S18 UPWARD SATALOFF CUP"
MCLS18R         ,"FORCEPS MCLS18R UPWARD BENNINGER CUP"
MCL-S19         ,"HANDLE MCL-S19 SATALOFF - PK OF 1"
MCL-S2          ,"DOUBLE HOOK MCL-S2 SATALOFF"
MCL-S20         ,"KNIFE MCL-S20 250MM SATALOFF - PK OF 1"
MCL-S21         ,"FORCEPS MCL-S21 RIGHT SATALOFF HEART"
MCL-S21R        ,"HEART FORCEPS MCL-S21R RT BENNINGER"
MCL-S22         ,"FORCEPS MCL-S22 LEFT SATALOFF HEART"
MCL-S22R        ,"HEART FORCEPS MCL-S22R LFT BENNINGER"
MCL-S23         ,"FORCEPS MCL-S23 ALLIG RT SATALOFF"
MCL-S23R        ,"FORCEPS MCL-S23R ALLIG RT BENNINGER"
MCL-S24         ,"FORCEPS MCL-S24 ALLIG LFT SATALOFF"
MCL-S24R        ,"FORCEPS MCL-S24R ALLIG LFT BENNINGER"
MCL-S25         ,"BLADE MCL-S25 6PK SATALOFF"
MCL-S26         ,"KNIFE MCL-S26 KNIFE 240MM SATALOFF - PK OF 1"
MCL-S27         ,"ADAPTER MCL-S27 ANG SATALOFF"
MCLS28          ,"INSTR TRAY MCLS28 MF STLF SET COMPLETE"
MCL-S3          ,"COTTON CARRIER MCL-S3 240MM SATALOFF"
MCL-S30         ,"HANDLE MCL-S30 SATALOFF KNIFE"
MCL-S31         ,"KNIFE MCL-S31 6PK SATALOFF VASCULAR"
MCL-S32         ,"KNIFE MCL-S32 6PK SATALOFF SHARP"
MCL-S33         ,"KNIFE MCL-S33 6PK SATALOFF SICKLE"
MCL-S34         ,"KNIFE MCL-S34 6PK SATALOFF DISP FLAP"
MCL-S35         ,"INJECTION NEEDLE MCL-S35 50MM SATALOFF"
MCL-S36         ,"INSTM TRAY MCL-S36 SATALOFF FORCEP W/LID"
MCLS37          ,"INSTR TRAY MCLS37 STLF PICKS/HAND/NEEDLE"
MCL-S38         ,"CURETTE MCL-S38 185MM CVD SATALOFF"
MCL-S39         ,"ALLIGATOR FORCEPS MCL-S39 RT SATALOFF"
MCL-S4          ,"INJECTION NEEDLE MCL-S4 6PK STR SATALOFF"
MCL-S41         ,"ALLIGATOR FORCEPS MCL-S41 LFT SATALOFF"
MCL-S42         ,"INJECTION NEEDLE MCL-S42 6BX SATALOFF"
MCL-S43         ,"INJECTION NEEDLE MCL-S43 6BX STR SATALOF"
MCLS44          ,"DILATOR MCLS44 N0 SATALOFF"
MCLS45          ,"DILATOR MCLS45 N1 SATALOFF"
MCLS46          ,"DILATOR MCLS46 N2 SATALOFF"
MCLS47          ,"DILATOR MCLS47 N3 SATALOFF"
MCLS48          ,"HANDLE MCLS48 SATALOFF"
MCLS49          ,"FORCEPS MCLS49 CVD SATALOFF CUP"
MCL-S5          ,"INJECTION NEEDLE MCL-S5 6PK 70MM SATALOF"
MCLS50          ,"FORCEPS MCLS50 190MM LFT SATALOFF CUP"
MCLS51          ,"FORCEPS MCLS51 190MM RT SATALOFF CUP"
MCLS52          ,"SCISSORS MCLS52 190MM STR SATALOFF"
MCLS53          ,"SCISSORS MCLS53 190MM CVD RT SATALOFF"
MCLS54          ,"SCISSORS MCLS54 190MM CVD LFT SATALOFF"
MCLS55          ,"FORCEPS MCLS55 LEFT SATALOFF HEART"
MCLS56          ,"FORCEPS MCLS56 RIGHT SATALOFF HEART"
MCLS57          ,"FORCEPS MCLS57 ALLIG STR SATALOFF"
MCLS58          ,"FORCEPS MCLS58 ALLIG CVD RT SATALOFF"
MCLS59          ,"FORCEPS MCLS59 ALLIG LFT SATALOFF"
MCL-S6          ,"KNIFE MCL-S6 6PK 250MM SATALOFF"
MCLS60          ,"SUCTION TUBE MCLS60 DIA 1.8MM SATALOFF"
MCLS61          ,"SUCTION TUBE MCLS61 DIA 2.5MM SATALOFF"
MCLS62SC        ,"CASE MCLS62SC SATALOFF"
MCLS63          ,"KNIFE MCLS63 3PK 70MM ANG SATALOFF"
MCLS64          ,"KNIFE MCLS64 3PK 70MM ANG SATALOFF"
MCLS65          ,"KNIFE MCLS65 3PK ANG SATALOFF"
MCLS66          ,"KNIFE MCLS66 3PK 70MM ANG SATALOFF"
MCL-S7          ,"ELEVATOR MCL-S7 240MM STR SATALOFF"
MCL-S8          ,"ELEVATOR MCL-S8 240MM ANG SATALOFF"
MCL-S9          ,"KNIFE MCL-S9 90DEG 240MM SATALOFF"
MCLT10          ,"RETRACTOR MCLT10 SMALL TERRIS"
MCLT11          ,"RETRACTOR MCLT11 LARGE TERRIS"
MCLT20          ,"ELEVATOR MCLT20 190MM 2MM TERRIS"
MCLT21          ,"ELEVATOR MCLT21 190MM 4MM TERRIS"
MCLT30          ,"COTTON HOLDER MCLT30 TERRIS"
MCLT40          ,"SUCTION TUBE MCLT40 MALLEAB ELEVA TERRIS"
MCLT50          ,"SUCTION TUBE MCLT50 MALLEAB BLUNT TERRIS"
MCLW10          ,"SCISSORS MCLW10 200MM STR WOO"
MCLW11          ,"SCISSORS MCLW11 200MM ANG WOO"
MCM10-0-5       ,"TUBE MCM10-0-5 DIA 0.5MM FOR IRRIGATION"
MCM10-1-0       ,"TUBE MCM10-1-0 DIA 1.0MM FOR IRRIGATION"
MCM12R          ,"NEEDLE HOLDER MCM12R 150MM OBRIEN"
MCM13           ,"CLAMP MCM13 LRG GILBERT OBRIEN"
MCM13-1         ,"CLAMP MCM13-1 SM GILBERT OBRIEN"
MCM1R           ,"NEEDLE HOLDER MCM1R 150MM BARRAQUER"
MCM25-3         ,"COVER MCM25-3 210X130MM SILICONE"
MCM4BISR        ,"FORCEPS MCM4BISR 150MM W/TEETH"
MCM4R           ,"FORCEPS MCM4R 150MM SMOOTH JAWS"
MCM6BIS         ,"BIPOLAR FORCEPS MCM6BIS 110MM STR"
MCM7BISR        ,"SCISSORS MCM7BISR 150MM CVD VANAS"
MCM7R           ,"SCISSORS MCM7R 150MM STR VANAS"
MCM970          ,"SCISSORS MCM970 150MM CVD"
MCM973D3        ,"FORCEPS MCM973D3 130MM N3 JEWELLER"
MCM973D5        ,"FORCEPS MCM973D5 130MM N5 JEWELLER"
MCO1            ,"SUCTION HANDLE MCO1 115MM"
MCO10           ,"KNIFE MCO10 165MM STR SICKLE"
MCO10B          ,"SICKLE KNIFE MCO10B 165MM STR ROSEN"
MCO10M          ,"KNIFE MCO10M 165MM STR MORGON SICKLE"
MCO10MO         ,"SICKLE KNIFE MCO10MO 190MM STR MOM"
MCO12B          ,"MEASURING ROD MCO12B 4.5 5.0 5.5MM"
MCO12D          ,"MEASURING ROD MCO12D 4.25 4.50 4.75MM"
MCO12E          ,"MEASURING ROD MCO12E 5.0 5.5 6.0MM VINCE"
MCO12H          ,"MEASURING ROD MCO12H ANG 3.5 4.0 4.5MM"
MCO12R          ,"MEASURING ROD MCO12R 3 4 5MM ROBIER"
MCO13A          ,"FORCEPS MCO13A ALLIG 4X1.0MM HARTMAN"
MCO13B          ,"FORCEPS MCO13B ALLIG 8X1.6MM HARTMAN"
MCO13C          ,"FORCEPS MCO13C ALLIG 3X0.6MM HARTMAN"
MCO13D          ,"FORCEPS MCO13D ALLIG 6X1.3MM HARTMAN"
MCO13E          ,"FORCEPS MCO13E ALLIG 10MM HARTMANN"
MCO17           ,"FORCEPS MCO17 ALLIG 4MM RT OPENING"
MCO1B           ,"SUCTION HANDLE MCO1B 115MM"
MCO2            ,"CHISEL MCO2 165MM STR"
MCO201-2-5      ,"SUCTION TUBE MCO201-2-5 DIA 2.5MM IRRIGA"
MCO201-3-0      ,"SUCTION TUBE MCO201-3-0 DIA 3.0MM IRRIGA"
MCO204C         ,"KNIFE MCO204C 165MM LANCET JOST"
MCO205          ,"HOOK MCO205 165MM 0.3MM 90DEG"
MCO205A         ,"HOOK MCO205A 0.3MM 90DEG POSTERIOR"
MCO205B         ,"HOOK MCO205B 0.3MM 90DEG ANTERIOR"
MCO205C         ,"HOOK MCO205C 0.3MM 90DEG 165MM RT ANG"
MCO205D         ,"HOOK MCO205D 0.3MM 90DEG 165MM LFT ANG"
MCO207-1-5      ,"CURETTE MCO207-1-5 DIA 1.5MM FENESTRATED"
MCO207-2-0      ,"CURETTE MCO207-2-0 DIA 2.0MM FENESTRATED"
MCO209          ,"SEPARATOR MCO209 165MM ANG"
MCO21           ,"FORCEPS MCO21 DIA 1.0MM 70MM CUP"
MCO210          ,"ELEVATOR MCO210 165MM ANG"
MCO213-4        ,"CUTTING BLOCK MCO213-4 0.4/0.6 VENT TUBE"
MCO213-6        ,"CUTTING BLOCK MCO213-6 0.6/0.8 VENT TUBE"
MCO214-13-10    ,"GOUGE MCO214-13-10 1.0MM 130MM FLEURY"
MCO214-13-20    ,"GOUGE MCO214-13-20 2.0MM 130MM FLEURY"
MCO214-13-40    ,"GOUGE MCO214-13-40 4.0MM 130MM FLEURY"
MCO214-13-60    ,"GOUGE MCO214-13-60 6.0MM 130MM FLEURY"
MCO214-13-80    ,"GOUGE MCO214-13-80 8.0MM 130MM FLEURY"
MCO215          ,"KNIFE MCO215 DIA 3.0MM MIRROR MARTIN"
MCO216-3-5      ,"MIRROR MCO216-3-5 DIA 3.5MM ZINI"
MCO218-4        ,"HAND DRILL MCO218-4 DIA 0.4MM 165MM"
MCO218-6        ,"HAND DRILL MCO218-6 DIA 0.6MM 165MM"
MCO218-8        ,"HAND DRILL MCO218-8 DIA 0.8MM 165MM"
MCO219B         ,"ALLIGATOR FORCEPS MCO219B 70MM CVD RT"
MCO21A          ,"FORCEPS MCO21A DIA 0.8MM 70MM CUP"
MCO21B          ,"CUP FORCEPS MCO21B DIA 0.8MM RT JAWS"
MCO21C          ,"CUP FORCEPS MCO21C DIA 0.8MM LFT JAWS"
MCO21D          ,"FORCEPS MCO21D DIA 0.8MM UPWARD CUP"
MCO21G          ,"FORCEPS MCO21G DIA 1.8MM 70MM CUP"
MCO21H          ,"FORCEPS MCO21H DIA 2.5MM 70MM CUP"
MCO21I          ,"CUP FORCEPS MCO21I DIA 1.5MM 70MM"
MCO22           ,"FORCEPS MCO22 ALLIG 8X1.6MM W/TEETH"
MCO221          ,"PICK MCO221 165MM CVD"
MCO221A         ,"PICK MCO221A 165MM CVD"
MCO221MO        ,"PICK MCO221MO 165MM CVD MOM"
MCO222          ,"FORCEPS MCO222 MALLEUS NIPPER CHARACHON"
MCO224-2-0      ,"RASPATORY MCO224-2-0 DIA 2.0MM 90DEG"
MCO224A-2-0     ,"RASPATORY MCO224A-2-0 DIA 2.0MM 135DEG"
MCO224G         ,"RASPATORY MCO224G DIA 7X4 135DEG GENTINE"
MCO226          ,"HOOK MCO226 0.5MM ANTERIOR PONCET"
MCO226A         ,"HOOK MCO226A 0.5MM POSTERIOR PONCET"
MCO226B         ,"HOOK MCO226B 0.5MM 90DEG RT ANG PONCET"
MCO226C         ,"HOOK MCO226C 0.5MM 90DEG LFT ANG PONCET"
MCO23           ,"FORCEPS MCO23 ALLIG 7MM JAWS STR"
MCO233          ,"SPECULUM MCO233 VIENNOIS"
MCO237          ,"SPECULUM MCO237 SERRATED BLADES"
MCO23A          ,"FORCEPS MCO23A ALLIG 95MM 10MM JAWS"
MCO23B          ,"FORCEPS MCO23B ALLIG 7MM JAWS RT"
MCO240          ,"ELEVATOR MCO240 DOUBLE ENDED CHOBAULT"
MCO25           ,"FORCEPS MCO25 WIRE CLOSING MAC GEE"
MCO250          ,"CUTTING BLOCK MCO250 CARTILAGE MARTIN"
MCO251          ,"BLADES MCO251 10PK FOR MARTIN CART KNIFE"
MCO255          ,"CUTTING BLOCK MCO255 CARTILAGE TEIXIDO"
MCO25H          ,"FORCEPS MCO25H PISTON CLOSIN HUTTENBRINK"
MCO26           ,"FORCEPS MCO26 PISTON CLOSING"
MCO27           ,"FORCEPS MCO27 MALLEUS NIPPER DIETER"
MCO270          ,"FORCEPS MCO270 TYMPANIC KRAUS PUNCH"
MCO271          ,"FORCEPS MCO271 KRAUS TYMP PUNCH 135DEG"
MCO272          ,"FORCEPS MCO272 45DEG KRAUSS PUNCH"
MCO290          ,"BIPOLAR FORCEPS MCO290 70MM W/TRAY"
MCO291          ,"BIPOLAR FORCEPS MCO291 95MM W/TRAY"
MCO29-1         ,"HAND DRILL MCO29-1 DIA 0.6MM 125MM"
MCO301          ,"KNIFE MCO301 180MM STR STERKERS SICKLE"
MCO302          ,"HOOK MCO302 2.0MM 180MM 90DEG STERKERS"
MCO303          ,"HOOK MCO303 1.2MM 180MM 90DEG STERKERS"
MCO304          ,"HOOK MCO304 0.8MM 180MM 90DEG STERKERS"
MCO305          ,"ELEVATOR MCO305 180MM CVD SEBILEAU"
MCO309          ,"FORCEPS MCO309 ALLIG 7MM STERKERS"
MCO31           ,"PICK MCO31 165MM STR"
MCO310          ,"SCISSORS MCO310 95MM STR STERKERS"
MCO311-1-0      ,"SUCTION TUBE MCO311-1-0 100MM DIA 1.0MM"
MCO311-1-2      ,"SUCTION TUBE MCO311-1-2 100MM DIA 1.0MM"
MCO311-1-5      ,"SUCTION TUBE MCO311-1-5 100MM DIA 1.5MM"
MCO311-1-8      ,"SUCTION TUBE MCO311-1-8 100MM DIA 1.8MM"
MCO311-2-0      ,"SUCTION TUBE MCO311-2-0 100MM DIA 2.0MM"
MCO311-2-5      ,"SUCTION TUBE MCO311-2-5 100MM DIA 2.5MM"
MCO311-3-0      ,"SUCTION TUBE MCO311-3-0 100MM DIA 3.0MM"
MCO311-3-5      ,"SUCTION TUBE MCO311-3-5 100MM DIA 3.5MM"
MCO311-4-0      ,"SUCTION TUBE MCO311-4-0 100MM DIA 4.0MM"
MCO312          ,"KNIFE MCO312 CVD W/KNIFE 135DEG SICKLE"
MCO313          ,"KNIFE MCO313 DIA 2.0MM 135DEG ROSEN"
MCO318          ,"SCISSORS MCO318 95MM CVD LFT STERKERS"
MCO319          ,"SCISSORS MCO319 95MM CVD RT STERKERS"
MCO32           ,"PICK MCO32 165MM CVD"
MCO320          ,"CURETTE MCO320 DIA 3.0MM FENEST STERKERS"
MCO321          ,"CURETTE MCO321 DIA 4.0MM FENEST STERKERS"
MCO322          ,"CURETTE MCO322 DIA 6.0MM FENEST STERKERS"
MCO330MO        ,"BALL SEEKER MCO330MO 90-DEG MOM"
MCO333          ,"ELEVATOR MCO333 195MM CVD KLAP"
MCO337DL        ,"ELEVATOR MCO337DL 180MM LFT ANG DUBREUIL"
MCO337DR        ,"ELEVATOR MCO337DR 180MM RT ANG DUBREUIL"
MCO34           ,"FORCEPS MCO34 0 TO 6.0MM MEASURING"
MCO340          ,"HOOK MCO340 2MM 190MM BAYONET MAGNAN"
MCO341          ,"HOOK MCO341 2MM 190MM BAYONET MAGNAN"
MCO342          ,"PICK MCO342 ST BLUNT 190MM BRUZZO"
MCO343          ,"PICK MCO343 CVD BLUNT 190MM BRUZZO"
MCO35           ,"FORCEPS MCO35 ALLIG 90DEG THOMASSIN"
MCO351          ,"RETRACTOR MCO351 130MM ANGOT VANECLOO"
MCO352-20       ,"SUCTION TUBE MCO352-20 DIA 2.0MM BRACKMA"
MCO352-25       ,"SUCTION TUBE MCO352-25 DIA 2.5MM BRACKMA"
MCO352-30       ,"SUCTION TUBE MCO352-30 DIA 3.0MM BRACKMA"
MCO352E20       ,"SUCTION TUBE MCO352E20 110MM BLUNT HOLES"
MCO352E25       ,"SUCTION TUBE MCO352E25 110MM BLUNT HOLES"
MCO352N20       ,"SUCTION TUBE MCO352N20 140MM BLUNT HOLES"
MCO352N25       ,"SUCTION TUBE MCO352N25 140MM BLUNT HOLES"
MCO353D10       ,"SUCTION TUBE MCO353D10 DIA 1.0MM DUBREUI"
MCO354          ,"SUCTION TUBE MCO354 LUER LOCK ZIMMERMANN"
MCO357A         ,"RETRACTOR MCO357A 130MM W/BLADE ROBIER"
