code        ,Description                                                                                                                                                                                                                                        ,Alternative
BC607R      ,"Kéo phẫu tích Metzenbaum, cong, mũi tù/tù, dài 200mm"                                                                                                                                                                                             ,11-285-20-07
EL408R      ,"Banh âm đạo Sims, hai đầu, dài 150mm, kích thước 75 x 30 mm / 80 x 35 mm"                                                                                                                                                                         ,32-160-02-01
FF504R      ,"Dụng cụ gặm đĩa đệm Caspar, thẳng, ngàm có khía, dài 140mm, kích thước ngàm 4 x 14mm"                                                                                                                                                             ,24-981-07-07
BV616R      ,"Lưỡi banh giữa cho bộ banh bụng Balfour BV615R, kích thước 107 x 59mm"                                                                                                                                                                            ,15-856-91-98
BV393R      ,Data Not Available                                                                                                                                                                                                                                 ,15-775-50-07
OF120C      ,"BỘ 4 BANH TAI BOUCHERON, DÙNG CHO NGƯỜI LỚN, ĐK: 4,2-7,2"                                                                                                                                                                                         ,36-119-04-01
FB109R      ,"Dụng cụ cạo nội mạc động mạch, không có cán, dài 550mm, đường kính 3mm"                                                                                                                                                                           ,16-251-03-01
FB112R      ,"Dụng cụ cạo nội mạc động mạch, không có cán, dài 550mm, đường kính 6mm"                                                                                                                                                                           ,16-251-06-01
DP001R      ,"Kìm uốn chỉ thép mũi bẹt, ngàm có khía, dài 140mm"                                                                                                                                                                                                ,47-522-13-07
DL409R      ,"Dụng cụ bẩy chân răng hàm dưới Winter, cong sang trái"                                                                                                                                                                                            ,42-551-05-07
BM026R      ,"Kẹp mang kim Durogrip TC, thẳng, ngàm rất mảnh, bước răng 0,20mm, dùng cho chỉ 6/0-10/0, dài 200mm"                                                                                                                                               ,20-666-03-07
OL218R      ,"Banh dùng trong phẫu thuật mũi Walter, hai đầu, 2 răng"                                                                                                                                                                                           ,37-715-14-07
FB369R      ,"Kẹp Bulldog không chấn thương Atraumata, loại nhỏ, cong, ngàm có răng De Bakey, dài 55mm, ngàm dài 20mm"                                                                                                                                          ,13-125-20-07
EL447R      ,"Lưỡi banh âm đạo Kristeller, lưỡi dưới, dài 220mm, kích thước 110 x 30 mm"                                                                                                                                                                        ,32-202-02-01
GK033R      ,"Nhíp phẫu tích, thẳng, ngàm có khía, dài 350mm, đường kính ngàm 5mm"                                                                                                                                                                              ,99-999-99-99
GC649R      ,"LƯỠI CƯA CHUÔI HÌNH SAO, KÍCH THƯỚC 50/15/0,5/0,8MM"                                                                                                                                                                                              ,99-999-99-99
BJ080R      ,"Kẹp phẫu tích Overholt, mảnh, cong, dài 215mm"                                                                                                                                                                                                    ,13-448-00-07
GD830R      ,"MŨI MÀI MỊNH DIAMOND HI-LINE NGẮN, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                              ,99-999-99-99
FL098R      ,"Dụng cụ tùn xương Passow, đầu trơn, dài 120mm, đầu tiết diện vuông cạnh 3,5mm"                                                                                                                                                                    ,99-999-99-99
OB792R      ,No Description Available                                                                                                                                                                                                                           ,35-133-06-07
FB573R      ,"Kẹp phế quản không chấn thương Lees Atraumata, gập góc 90°, ngàm có răng De Bakey, dài 220mm, ngàm dài 90mm"                                                                                                                                      ,24-427-23-07
FB519R      ,"Kẹp tĩnh mạch chủ De Bakey-Beck Atraumata, cong dạng Satinsky, ngàm có răng De Bakey, dài 205mm, ngàm dài 65mm, rộng 30mm"                                                                                                                        ,24-457-19-07
EL694R      ,"Banh âm đạo Breisky, kiểu Vienna, dài 320mm, kích thước 130 x 25 mm"                                                                                                                                                                              ,32-324-25-07
GK978R      ,"Kẹp lưỡng cực Caspar, gập góc xuống 75°, hình lưỡi lê, dài 215mm, chiều dài sử dụng 120mm, ngàm rộng 1mm"                                                                                                                                         ,80-996-23-04
BT007R      ,"Banh vết thương Senn-Miller (Baby), đầu nhọn/tù, 1 đầu có 3 răng tù, dài 155mm, kích thước 2 đầu 8 x 7mm, 22 x 7mm"                                                                                                                               ,15-167-16-07
FD244R      ,"Kẹp mang kim vi phẫu , thẳng, ngàm trơn, cán tròn, không có khóa cài, cán kiểu nhíp, dài 185mm, dùng cho chỉ 9/0-11/0"                                                                                                                            ,20-050-18-07
FF283R      ,"Đầu nối với 1 tay giữ dụng cụ FF270R, có thể xoay được"                                                                                                                                                                                           ,24-702-16-07
BF491R      ,"Vòng giữ dụng cụ có cán vòng Bunt, dài 105mm"                                                                                                                                                                                                     ,55-808-14-01
BH199R      ,"Kẹp mạch máu Nissen, mảnh, cong, đầu tù, dài 185mm"                                                                                                                                                                                               ,13-363-19-07
GC013R      ,"Mũi khoan xoắn, thân tròn, đường kính 4,5mm, kích thước 150/80mm"                                                                                                                                                                                 ,22-199-45-07
DG797R      ,"Kìm nhổ chân răng nằm sâu hàm trên Anatomica, số 97"                                                                                                                                                                                              ,40-097-00-07
FB507R      ,"Kẹp mạch máu bán phần De Bakey-Satinsky Atraumata, cong dạng Satinsky, ngàm có răng De Bakey, dài 240mm, ngàm dài 76mm, rộng 40mm"                                                                                                                ,24-425-24-07
FB155R      ,"Ống tưới rửa Schmid, dễ uốn, có khóa Luer, dài 150mm, đường kính 5mm"                                                                                                                                                                             ,18-695-05-07
OK089R      ,"BANH VÁCH NGĂN MŨI COTTLE, LƯỠII MỎNG, 76X7MM"                                                                                                                                                                                                    ,99-999-99-99
FK888SU     ,"Bộ ống dẫn khí nén sử dụng một lần Kairison, dài 3000mm, sử dụng cùng FK898R, hộp 10 chiếc"                                                                                                                                                       ,99-999-99-99
BL060N      ,"Kim khâu phẫu thuật, số 0, cong, mũi tròn, dài 85mm, đường kính 1,60mm"                                                                                                                                                                           ,99-999-99-99
BM186R      ,"Kẹp mang kim Toennis Durogrip TC, kiểu đàn hồi, thẳng, bước răng 0,50mm, dùng cho chỉ tới 3/0, dài 180mm"                                                                                                                                         ,20-684-18-07
PO775R      ,"Ruột kẹp phẫu tích nội soi đơn cực Adtec, thẳng, ngàm ngắn, khuyết, có khía, hoạt động đôi, dài 310mm, đường kính ngàm 5mm"                                                                                                                       ,99-999-99-99
FF678R      ,"Dụng cụ gặm xương Kerrison, kiểu chuẩn, cong lên trên 130°, không có bộ phận đẩy mô, không tháo rời được, dài 180mm, ngàm rộng 3mm, ngàm mở 15mm, sử dụng cùng JF120R"                                                                            ,24-978-92-07
GE603SU     ,"MŨI MÀI PHÁ ROSEN HI-LINE XS III, ĐƯỜNG KÍNH 1,8MM"                                                                                                                                                                                               ,99-999-99-99
FC231R      ,DS-SINGLE FIRE APPLIER XL 280MM 65Â°                                                                                                                                                                                                               ,99-999-99-99
BT542P      ,"Banh tổ chức sợi carbon Carbotrac, dài 255mm, kích thước hai lưỡi 100 x 40mm"                                                                                                                                                                     ,99-999-99-99
BT742R      ,"Vén bụng/ruột Koerte, dài 300mm, lưỡi rộng 46mm"                                                                                                                                                                                                  ,99-999-99-99
FF231R      ,"Vén não, cán tròn, dễ uốn, dài 200mm, chiều dài lưỡi 100mm, lưỡi rộng 14mm, đường kính cán 5mm"                                                                                                                                                   ,24-721-14-01
EV-000023   ,KÍNH PHÂN CỰC 3D                                                                                                                                                                                                                                   ,99-999-99-99
BT421R      ,"Banh tổ chức Smillie, dài 140mm, kích thước lưỡi 32 x 19mm"                                                                                                                                                                                       ,99-999-99-99
BT240R      ,"Banh xương Volkmann, 1 răng nhọn, dài 220mm"                                                                                                                                                                                                      ,15-230-01-07
EA887R      ,"Dụng cụ soi cơ vòng Kelly, dài 140mm, sâu 142mm, đường kính 20mm"                                                                                                                                                                                 ,99-999-99-99
EA355R      ,"Kẹp nối mạch máu không chấn thương Kersting Atraumata, cong, hình chữ S, ngàm có răng De Bakey, dài 300mm"                                                                                                                                        ,99-999-99-99
GE505SU     ,"MŨI MÀI PHÁ ROSEN HI-LINE XS II, ĐƯỜNG KÍNH 2,7MM"                                                                                                                                                                                                ,99-999-99-99
BH166R      ,"Kẹp động mạch Crile, mảnh, thẳng, dài 160mm"                                                                                                                                                                                                      ,13-346-16-07
MA018R      ,Data Not Available                                                                                                                                                                                                                                 ,37-628-01-07
MB693R      ,"Đục xương Hibbs, lưỡi vát hai bên, cong, dài 240mm, đầu rộng 32mm"                                                                                                                                                                                ,23-173-32-07
BN104R      ,"Que thăm tử cung, thẳng, hai đầu, mũi tròn, dài 145mm, đường kính mũi 1mm"                                                                                                                                                                        ,16-102-14-01
BV659R      ,"Lưỡi banh cho bộ banh bụng Semm BV654R, bản hẹp, kích thước 107 x 36mm"                                                                                                                                                                           ,15-889-99-07
GE679R      ,"MŨI DOA LÒNG TỦY, ĐƯỜNG KÍNH 14,5MM, LẮP VỚI THÂN GE666R"                                                                                                                                                                                         ,99-999-99-99
FF301R      ,"Dụng cụ phẫu tích thần kinh Toennis, cong nhẹ, hai đầu, tù/tù, dài 240mm"                                                                                                                                                                         ,24-680-25-07
BA718R      ,"Lưỡi dao thay thế cho tay dao bào da BA717R, hộp 10 chiếc"                                                                                                                                                                                        ,99-999-99-99
BT625R      ,"Lưỡi banh gan Muenster, kích thước lưỡi 125 x 140mm"                                                                                                                                                                                              ,99-999-99-99
IC-V011     ,Ruy-băng truyền nhiệt                                                                                                                                                                                                                              ,99-999-99-99
OP313R      ,"Kéo dùng trong phẫu thuật vi phẫu thanh quản, lưỡi gập lên, mũi nhọn/nhọn, hình súng, hoạt động đơn, chiều dài hoạt động 25mm"                                                                                                                    ,99-999-99-99
DL363R      ,"Dụng cụ bẩy chân răng, số 3S, thẳng, tay cầm lõm chỗ để ngón cái, dài 150mm, mũi rộng 3.5mm"                                                                                                                                                      ,42-222-03-07
FL837NR     ,"Đục xương lòng máng có tay cầm, ngang 25 mm, dài 300 mm"                                                                                                                                                                                          ,99-999-99-99
MB240       ,No Description Available                                                                                                                                                                                                                           ,24-344-27-07
EB012R      ,"Kẹp ống mật Gray, cong nhiều, hình chữ S, dài 220mm"                                                                                                                                                                                              ,09-008-09-07
BJ583R      ,"Kẹp phẫu tích tử cung Kieback Atraumata, cong, ngàm có khía chéo một phần, có răng De Bakey, dài 250mm"                                                                                                                                           ,99-999-99-99
FD614R      ,"Kẹp mạch máu đôi Biemer-Mueller, gập góc, ngàm có khía chéo, ngàm mở 5mm, ngàm dài 6mm, lực kẹp 0,25 - 0,29 N"                                                                                                                                    ,13-059-05-07
BC289R      ,"Kéo phẫu tích Nelson-Metzenbaum (MC Indoe) Durotip TC, cong, mũi tù/tù, cán vàng, dài 300mm"                                                                                                                                                      ,11-943-30-07
LX241R      ,Data Not Available                                                                                                                                                                                                                                 ,22-589-27-07
BC135R      ,"Kéo phẫu tích, cong, mũi tù/tù, dài 120mm"                                                                                                                                                                                                        ,11-105-11-07
PV835       ,LATERAL DOUBLE JOINT ARM F/ADDIT.MONITOR                                                                                                                                                                                                           ,99-999-99-99
EM125R      ,"Que nong cổ tử cung Hegar, đầu hình chóp rất nhọn, dài 185mm, đường kính 25mm"                                                                                                                                                                    ,32-400-25-01
OG100R      ,"Dao phẫu tích tai, thẳng, mũi nhọn, dài 160mm, mũi rộng 1,50mm"                                                                                                                                                                                   ,93-999-99-99
DL361R      ,"Dụng cụ bẩy chân răng, số 5S, thẳng, tay cầm lõm chỗ để ngón cái, dài 150mm, mũi rộng 2,50mm"                                                                                                                                                     ,42-220-01-07
MA362R      ,Data Not Available                                                                                                                                                                                                                                 ,20-344-13-07
PV804       ,EXTENSION F/CENTR.MONIT.ARM PV831/PV832                                                                                                                                                                                                            ,99-999-99-99
BF458R      ,"Kẹp săng Thomas, cong, đầu bằng, không gây khuyết, dài 100mm"                                                                                                                                                                                     ,99-999-99-99
BF410R      ,"Kẹp săng Schaedel, thẳng, đầu nhọn, dài 85mm"                                                                                                                                                                                                     ,13-875-09-07
ER072R      ,"Kẹp sinh thiết Seidl DBP, hình lưỡi lê, dài 240mm, đường kính ngàm 2,0mm"                                                                                                                                                                         ,99-999-99-99
FM473R      ,"Kéo vi phẫu, gập góc 90°, lưỡi mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm, sử dụng cùng GN084, JG883R"                                                                                                                                               ,99-999-99-99
OM490R      ,"Kẹp cắt Amidan Jatho, dài 240mm"                                                                                                                                                                                                                  ,99-999-99-99
OC231R      ,"Kẹp Chalazion, dài 90mm, rộng 21mm"                                                                                                                                                                                                               ,99-999-99-99
GC138R      ,"LƯỠI CƯA MINI, KÍCH CỠ 25/10/0,5/0,7MM"                                                                                                                                                                                                           ,99-999-99-99
TE684R      ,"Khớp nối cho nguồn sáng Wolf, sử dụng cùng OP906; OP913; OP914"                                                                                                                                                                                   ,99-999-99-99
GF822R      ,"Ống hút Cooley, đường kính 8mm, dài 310mm"                                                                                                                                                                                                        ,18-565-30-01
OF115C      ,"BANH TAI HARTMANN, DÙNG CHO TRẺ EM, ĐK: 1,8MM"                                                                                                                                                                                                    ,99-999-99-99
JG521R      ,"Bát đựng bệnh phẩm, dài 61mm, cao 30mm, rộng 42mm, dung tích 60ml"                                                                                                                                                                                ,56-231-06-01
FD398R      ,"Vén rễ thần kinh Krayenbuehl, gập góc 90°, mũi tù, cán tròn, dài 185mm"                                                                                                                                                                           ,24-940-03-07
FM672R      ,"Kéo vi phẫu Perneczky/Cristante XS, thẳng, cán hình lưỡi lê, hình súng, cán kiểu nhíp, mũi nhọn/nhọn, dài 260mm, chiều dài hoạt động 130mm, bao gồm FM677R, FM732R, có thể tháo rơ"                                                               ,99-999-99-99
GE690R      ,"MŨI DOA LÒNG TỦY, ĐƯỜNG KÍNH 20MM, LẮP VỚI THÂN GE666R"                                                                                                                                                                                           ,99-999-99-99
PV810       ,ENDOSCOPY EQUIPMENT CART WIDE                                                                                                                                                                                                                      ,99-999-99-99
PV796       ,MAINS CORD BLACK TYPE B                                                                                                                                                                                                                            ,99-999-99-99
FD301R      ,"Dụng cụ róc xương vi phẫu Yasargil, lưỡi vát 1 bên, gập góc, mũi hình đục, nhọn, cán tròn, dài 185mm, rộng 1,40mm"                                                                                                                                ,24-862-01-07
MB190R      ,Data Not Available                                                                                                                                                                                                                                 ,23-400-26-07
FH904B      ,Data Not Available                                                                                                                                                                                                                                 ,24-981-27-14
FL225R      ,"Đục lòng máng Partsch, dài 170mm, lưỡi rộng 5mm"                                                                                                                                                                                                  ,23-110-05-07
BT194R      ,"Banh vết thương Meyerding, cỡ B, ngàm có răng, nhọn, cán có vòng ngón cái, dài 180mm, kích thước ngàm 16 x 5mm"                                                                                                                                   ,15-151-02-07
GD695R      ,"MŨI MÀI THÔ DIAMOND HI-LINE II, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                                 ,99-999-99-99
DS210R      ,"DCỤ ĐẶT CHẤT DẺO LE CRON TRONG PT N.KHOA, HAI ĐẦU, DÀI"                                                                                                                                                                                           ,99-999-99-99
OM602R      ,"Kẹp giữ Amidan Museux, thẳng, ngàm có 2x2 răng, dài 200mm, ngàm rộng 9mm"                                                                                                                                                                         ,99-999-99-99
PL606R      ,"Kềm kẹp Clip băng đạn, dùng bình CO2, loại trung bình - lớn, đường kính 10mm, dài 370mm"                                                                                                                                                          ,99-999-99-99
BC846R      ,"Kéo cắt băng vải Knowles, thẳng, một đầu thăm, dài 145mm"                                                                                                                                                                                         ,21-160-14-07
PE202A      ,"Ống nội soi Full HD, góc nhìn 30°, đường kính 2,7mm, dài 110mm, cho phép hấp tiệt trùng bằng hơi nước."                                                                                                                                           ,99-999-99-99
BC194R      ,"Kéo phẫu tích gân Stevens, thẳng, mũi tù/tù, dài 125mm"                                                                                                                                                                                           ,11-682-11-07
BC796R      ,"Kéo cắt dây rốn, cong về bên, mũi tù/tù, dài 135mm"                                                                                                                                                                                               ,11-551-16-07
BM831R      ,"Cây luồn chỉ Brunner, cong nhẹ, dài 300mm"                                                                                                                                                                                                        ,20-861-30-07
FD305R      ,"Dụng cụ róc xương vi phẫu Yasargil, mũi cong, nhọn, cán tròn, dài 185mm, rộng 2,80mm"                                                                                                                                                             ,24-862-04-07
GK881R      ,"Kẹp phẫu tích lưỡng cực Bipojet, thẳng, đầu cách điện toàn bộ, màu đen, dài 160mm"                                                                                                                                                                ,99-999-99-99
BC131R      ,"Kéo phẫu tích, cong, mũi nhọn/nhọn, dài 120mm"                                                                                                                                                                                                    ,11-589-12-07
EM098R      ,"Khay đựng que nong cổ tử cung, dùng cho que nong 13-17mm, sử dụng cùng hộp JG161R"                                                                                                                                                                ,99-999-99-99
FB764R      ,"Kẹp động mạch chủ không chấn thương Cooley Atraumata, cong, hình chữ S, ngàm có răng Cooley, dài 320mm, ngàm dài 115mm"                                                                                                                           ,24-354-32-07
BT048R      ,"Banh vết thương Canny-Ryall, hình chữ S, hai đầu, dài 190mm, lưỡi rộng 20mm"                                                                                                                                                                      ,09-008-22-07
OF296       ,BANH TAI TUMARKIN ĐK 7.0 MM                                                                                                                                                                                                                        ,99-999-99-99
BT600R      ,"Banh tổ chức Deaver, số 000, dài 180mm, kích thước lưỡi 19mm"                                                                                                                                                                                     ,15-591-01-07
FM598R      ,"Kẹp vi phẫu Diadust, thẳng, mũi tròn, ngàm phủ bụi kim cương, cán tròn, dài 210mm, đường kính ngàm 1mm"                                                                                                                                           ,12-574-21-07
PL738SU     ,CAIMAN DISP.INSTR.NON ARTICUL.D5/240MM                                                                                                                                                                                                             ,99-999-99-99
MB851R      ,Data Not Available                                                                                                                                                                                                                                 ,23-172-13-07
FB113R      ,"Dụng cụ cạo nội mạc động mạch, không có cán, dài 550mm, đường kính 7mm"                                                                                                                                                                           ,16-251-07-01
PO631R      ,"Ruột kéo phẫu tích nội soi đơn cực Metzenbaum (Mini) Adtec TC, cong sang trái, mũi tù/tù, ngàm có khía mịn, hoạt động đôi, dài 220mm, đường kính ngàm 5mm"                                                                                        ,99-999-99-99
FK907R      ,"Dụng cụ gặm cột sống Kerrison, kiểu mỏng, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 2mm, ngàm mở 9mm, sử dụng cùng JF120R"                                                                                            ,24-979-09-07
FB477R      ,"Kẹp động mạch chủ không chấn thương De Bakey Atraumata, cong, ngàm có răng De Bakey, dài 265mm, ngàm dài 75mm"                                                                                                                                    ,24-433-24-07
DI153R      ,"Kìm nhổ răng hàm trên bên phải, số 53 R, kiểu Mỹ"                                                                                                                                                                                                 ,41-053-08-07
EF854R      ,"Nong niệu đạo Guyon, số 27, cong, dài 255mm,"                                                                                                                                                                                                     ,31-607-27-07
BT364R      ,"Banh tổ chức Kocher-Langenbeck, dài 215mm, kích thước ngàm 80 x 12mm"                                                                                                                                                                             ,15-317-08-07
FO190R      ,"Kẹp giữ xương Lowman, dài 170mm"                                                                                                                                                                                                                  ,99-999-99-99
DO801R      ,"Dụng cụ cắt dây chằng, thẳng, dài 160mm"                                                                                                                                                                                                          ,99-999-99-99
JG647U      ,"Nhãn nhận biết cho bộ chứa dụng cụ phẫu thuật nha khoa, loại nhỏ, bằng nhôm, màu xanh lá cây, chiều dài 50mm, chiều rộng 18mm"                                                                                                                    ,55-864-06-04
OK030R      ,"Banh mũi Hartmann, dài 145mm"                                                                                                                                                                                                                     ,36-845-02-07
GE397R      ,"MŨI CẮT ĐÔI HI-LINE XS, DÙNG CHO GB740R, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                          ,99-999-99-99
GD775R      ,"MŨI MÀI HÌNH NÓN HI-LINE II, ĐƯỜNG KÍNH 9,5MM"                                                                                                                                                                                                    ,99-999-99-99
PG058       ,HOSE F/CO2 GAS BOTTLE SUPPLY PIN/US 1.5M                                                                                                                                                                                                           ,99-999-99-99
BD851R      ,"Nhíp vi phẫu Yasargil, cán có lỗ, dài 240mm, ngàm rộng 1,10mm"                                                                                                                                                                                    ,24-852-76-07
DB867R      ,Data Not Available                                                                                                                                                                                                                                 ,43-736-11-07
BV074R      ,"Banh tự giữ Weitlaner, 3x4 răng tù, dài 130mm"                                                                                                                                                                                                    ,15-751-13-07
FB835R      ,No Description Available                                                                                                                                                                                                                           ,24-168-90-07
MB812R      ,"Cây nạo Matson, dài 220mm"                                                                                                                                                                                                                        ,99-999-99-99
MG242R      ,Data Not Available                                                                                                                                                                                                                                 ,09-008-77-07
BA643R      ,"Dao mổ màng não Toennis, dài 190mm"                                                                                                                                                                                                               ,99-999-99-99
EA097R      ,"Kẹp gắp Allis Atraumata, thẳng, ngàm có răng De Bakey, dài 255mm, ngàm rộng 8,40mm"                                                                                                                                                               ,30-136-25-07
PO765R      ,"Ruột kẹp gắp Babcock phẫu tích nội soi đơn cực Adtec, thẳng, có khía mịn, hoạt động đơn, dài 310mm, đường kính ngàm 5mm"                                                                                                                          ,99-999-99-99
FA063R      ,"Dụng cụ nạo tuyến yên Hardy, dáng lưỡi lê, cán tròn, mũi gập sang trái 90 °, mũi dài, hơi nhọn, đường kính 6mm, dài 280mm, chiều dài hoạt động 130mm"                                                                                             ,99-999-99-99
ET251R      ,"Kẹp sản khoa Tarnier, dài 400mm"                                                                                                                                                                                                                  ,99-999-99-99
FC122R      ,No Description Available                                                                                                                                                                                                                           ,24-189-21-07
MB587R      ,Data Not Available                                                                                                                                                                                                                                 ,24-399-07-07
GE625SU     ,"MŨI MÀI THÔ DIAMOND HI-LINE XS III, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                             ,99-999-99-99
BB078R      ,"Cán dao mổ, số 3, thẳng, loại dài, dài 225mm"                                                                                                                                                                                                     ,10-135-01-07
GD899R      ,"MŨI MÀI MỊN DIAMOND ĐƯỜNG KÍNH 4MM, KÍCH THƯỚC CHUÔI 2.35X51MM"                                                                                                                                                                                   ,99-999-99-99
BC633R      ,"Kéo phẫu tích Toennis, rất mảnh, thẳng, mũi tù/tù, dài 180mm"                                                                                                                                                                                     ,99-999-99-99
BD228R      ,"Nhíp phẫu tích Gerald, mảnh, thẳng, ngàm có khía, dài 175mm"                                                                                                                                                                                      ,12-186-18-07
BD190R      ,No Description Available                                                                                                                                                                                                                           ,12-287-18-07
PO550R      ,"Kẹp mang kim nội soi đơn cực Adtec TC hoàn chỉnh, thẳng, hoạt động đơn, dài 310mm, đường kính 5mm, bao gồm PM973R, PO628R, PO959R"                                                                                                                ,99-999-99-99
FK929R      ,Data Not Available                                                                                                                                                                                                                                 ,24-979-05-14
OF279R      ,"Dụng cụ lấy ráy tai Lucae, cỡ lớn, gập góc 90°, dài 140mm"                                                                                                                                                                                        ,36-577-03-07
FC385R      ,No Description Available                                                                                                                                                                                                                           ,24-599-45-04
GE613SU     ,"MŨI MÀI MỊN DIAMOND HI-LINE XS III, ĐƯỜNG KÍNH 1,8MM"                                                                                                                                                                                             ,99-999-99-99
DF032R      ,"Dụng cụ đánh bóng răng White, tay cầm sáu cạnh, dài 150mm"                                                                                                                                                                                        ,99-999-99-99
DX405R      ,"Dụng cụ bẩy răng mới nhú Ergoplant, PHW, hai đầu, gập góc, dài 190mm"                                                                                                                                                                             ,99-999-99-99
FF343R      ,"Kẹp khối u Toennis, loại nhỏ, size 3, gập góc 45°, ngàm có khía, có khóa cài, dài 200mm, chiều dài hoạt động 100mm, chiều rộng ngàm 13mm"                                                                                                         ,99-999-99-99
LX182NR     ,"Kìm tách chỉ thép mũi hình nón, dài 180 mm"                                                                                                                                                                                                       ,99-999-99-99
