MÔ TẢ                                                                                                                                                                                                                                              ,AESC        ,KLS
"Khay lưới bảo quản dụng cụ phẫu thuật, loại chuẩn 1/1, có chân, kích thước 243 x 253 x 106 mm"                                                                                                                                                    ,JF114R      ,55-804-27-01
#N/A                                                                                                                                                                                                                                               ,LX222R      ,22-603-06-07
"Kẹp mạch máu Rochester-Pean, cong, đầu tù, dài 240mm"                                                                                                                                                                                             ,BH451R      ,13-411-24-07
#N/A                                                                                                                                                                                                                                               ,MA058R      ,23-312-20-07
"Dụng cụ đè chụp răng Mershon, dài 145mm"                                                                                                                                                                                                          ,DP756R      ,46-528-01-07
#N/A                                                                                                                                                                                                                                               ,DX612T      ,0
"MŨI MÀI THÔ DIAMOND HI-LINE XS II, ĐƯỜNG KÍNH 3,1MM"                                                                                                                                                                                              ,GE525SU     ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA070R      ,36-391-14-07
                                                                                                                                                                                                                                                   ,FB281R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,KX121S      ,99-999-99-99
"MŨI MÀI MỊN DIAMOND HI-LINE XS I, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                 ,GE417R      ,99-999-99-99
"Dụng cụ gặm cột sống Kerrison Noir, kiểu chuẩn, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 1,50mm, ngàm mở 15mm, sử dụng cùng JF120R"                                                                                  ,FK971B      ,24-978-91-14
"Đầu dụng cụ tháo chụp răng, sử dụng cùng DP781R"                                                                                                                                                                                                  ,DP787R      ,46-583-03-07
"Kẹp phẫu tích tai Hough, loại nhỏ, thẳng, ngàm có khía, dài 70mm, kích thước ngàm 1 x 5 mm"                                                                                                                                                       ,OG329R      ,0
                                                                                                                                                                                                                                                   ,GP304R      ,99-999-99-99
"Dụng cụ nạo róc Sewall, cong, đầu nhọn, dài 200mm, đầu rộng 5,90mm"                                                                                                                                                                               ,OL198R      ,23-412-20-07
"Kẹp bông băng Gross, thẳng, ngàm có khía, khớp hộp,  có khóa cài, dài 200mm"                                                                                                                                                                      ,BF046R      ,14-222-20-07
"Dụng cụ trám răng, hai đầu, gập góc, tay cầm sáu cạnh, dài 170mm, đường kính hai đầu 2,0mm; 2,5mm"                                                                                                                                                ,DE031R      ,0
#N/A                                                                                                                                                                                                                                               ,LX205R      ,22-565-16-07
Đầu kèm vít của dụng cụ đục lỗ răng DF392R                                                                                                                                                                                                         ,DF388R      ,0
Dụng cụ nối banh với bàn mổ                                                                                                                                                                                                                        ,BW099R      ,99-999-99-99
"Kìm nhổchân răng hàm dưới Buechs Anatomica, tay cầm chạm hình vuông, số 74, đầu rộng 4,50mm"                                                                                                                                                      ,DH774R      ,40-074-00-07
"Kẹp phẫu tích Adson (Baby), gập góc phải, dài 180mm"                                                                                                                                                                                              ,BJ014R      ,13-421-18-07
"Kéo phẫu tích Metzenbaum, mảnh, cong, mũi tù/tù, cán lớn, dài 145mm"                                                                                                                                                                              ,BC023R      ,11-255-14-07
"MŨI MÀI MỊN DIAMOND ĐƯỜNG KÍNH 6.0MM, KÍCH THƯỚC CHUÔI 2.35X70MM"                                                                                                                                                                                 ,GD034R      ,99-999-99-99
"Cán dao mổ, số 3, dài 125mm"                                                                                                                                                                                                                      ,BB073R      ,10-130-03-07
"Kẹp mang kim Durogrip French Eye, dài 235mm"                                                                                                                                                                                                      ,MB612R      ,20-650-23-07
                                                                                                                                                                                                                                                   ,GP147R      ,99-999-99-99
#N/A                                                                                                                                                                                                                                               ,MA245R      ,99-999-99-99
"Kẹp phẫu tích nội soi đơn cực Adtec Monopolar, thẳng, ngàm ngắn, khuyết, có khía, hoạt động đôi, dài 420mm, đường kính ngàm 5mm, sử dụng cùng PM981R, PO776R, PO959R. Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."              ,PO223R      ,0
LATERAL HEIGHT-ADJ.MONTIOR ARM W/EXTENS.                                                                                                                                                                                                           ,PV834       ,0
#N/A                                                                                                                                                                                                                                               ,MB097R      ,99-999-99-99
"Que thăm Doyen, cong, dài 145mm"                                                                                                                                                                                                                  ,BN010R      ,16-175-14-01
#N/A                                                                                                                                                                                                                                               ,MD216R      ,0
"Dụng cụ thăm khám và cạo cao răng Goldmann-Fox Anatomic Colours,  cỡ GF 2, hai đầu, gập góc, tay cầm chất liệu Peek, màu xanh da trời đậm, dài 175mm"                                                                                             ,DB342R      ,43-326-32-07
"Dụng cụ nạo, số 000, dáng lưỡi lê, mũi nhọn, gập về trước, dài 215mm, chiều dài hoạt động 80mm"                                                                                                                                                   ,MF258R      ,23-997-12-07
"Đầu nối hình nón dùng cho trocar sử dụng nhiều lần, đường kính 10mm, sử dụng cùng EJ432R; EJ750R; EJ433R"                                                                                                                                         ,EJ430R      ,99-999-99-99
